GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
B. Cropland (4),112181.1900000001,,,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
C. Grassland (4),-15058.833333333348,2.53,0.23,Summary1.As2,KAZAKHSTAN,2007,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),0.595,0.000406,0.000406,Summary1.As2,KAZAKHSTAN,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,58.197,0.92,Summary1.As2,KAZAKHSTAN,2007,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,621.32,,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
B.  Manure management,,26.74548,7.40244,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,15.86,,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,51.4,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
H. Urea application,0.56,,,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
A. Forest land (4),-13784.310000000012,0.39,0.201,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
B. Cropland (4),102233.1200000001,,,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
C. Grassland (4),-10846.733333333344,1.05,0.1,Summary1.As2,KAZAKHSTAN,2008,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),0.88,0.0006,0.0006,Summary1.As2,KAZAKHSTAN,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,59.113,0.95,Summary1.As2,KAZAKHSTAN,2008,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,629.93,,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
B.  Manure management,,27.04602,7.52114,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,18.25,,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,49.84,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
H. Urea application,0.23,,,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
A. Forest land (4),-16036.243333333348,0.14,0.008,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
B. Cropland (4),92285.05000000008,,,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
C. Grassland (4),-5791.300000000006,0.77,0.07,Summary1.As2,KAZAKHSTAN,2009,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),7.904,0.005398,0.005398,Summary1.As2,KAZAKHSTAN,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,64.416,0.98,Summary1.As2,KAZAKHSTAN,2009,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,643.1,,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
B.  Manure management,,27.52602,7.64414,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,19.74,,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,46.47,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
H. Urea application,0.68,,,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
A. Forest land (4),-18104.756666666683,0.45,0.025,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
B. Cropland (4),82336.98000000007,,,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
C. Grassland (4),891.9,1.4,0.13,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
D. Wetlands (4),342.79666666666697,,,Summary1.As2,KAZAKHSTAN,2010,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,99.83,,Summary1.As2,KAZAKHSTAN,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),8.482,0.005793,0.005793,Summary1.As2,KAZAKHSTAN,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,66.358,1.01,Summary1.As2,KAZAKHSTAN,2010,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,605.86,,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
B.  Manure management,,25.47657,7.1969,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,19.59,,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,45.2,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
H. Urea application,2.47,,,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
A. Forest land (4),-20369.640000000018,0.17,0.009,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
B. Cropland (4),72388.91000000006,,,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
C. Grassland (4),-3045.7000000000035,0.8,0.07,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
D. Wetlands (4),107.4700000000001,,,Summary1.As2,KAZAKHSTAN,2011,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,103.88,,Summary1.As2,KAZAKHSTAN,2011,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),6.73,0.004596,0.004596,Summary1.As2,KAZAKHSTAN,2011,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,62.469,1.02,Summary1.As2,KAZAKHSTAN,2011,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,612.88,,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
B.  Manure management,,24.97629,7.08601,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,19.53,,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,41.7,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
H. Urea application,0.72,,,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
A. Forest land (4),-22134.24000000002,0.28,0.016,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
B. Cropland (4),62440.840000000055,,,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
C. Grassland (4),-5862.133333333339,0.38,0.03,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
D. Wetlands (4),29.18666666666669,,,Summary1.As2,KAZAKHSTAN,2012,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,108.2,,Summary1.As2,KAZAKHSTAN,2012,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),6.196,0.004232,0.004232,Summary1.As2,KAZAKHSTAN,2012,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,63.468,1.04,Summary1.As2,KAZAKHSTAN,2012,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,633.65,,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
B.  Manure management,,25.37623,7.16483,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,18.88,,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,39.23,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
H. Urea application,0.2,,,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
A. Forest land (4),-24744.28666666669,0.07,0.004,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
B. Cropland (4),52493.35666666672,,,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
C. Grassland (4),-8622.200000000008,0.05,0.004,Summary1.As2,KAZAKHSTAN,2013,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),7.651,0.005225,0.005225,Summary1.As2,KAZAKHSTAN,2013,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,64.401,1.04,Summary1.As2,KAZAKHSTAN,2013,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,660.59,,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
B.  Manure management,,25.98675,7.38549,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,20.01,,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,41.07,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
H. Urea application,0.55,,,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
A. Forest land (4),-22171.786666666685,0.09,0.005,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
B. Cropland (4),51683.61000000005,,,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
C. Grassland (4),-10254.133333333344,1.32,0.12,Summary1.As2,KAZAKHSTAN,2014,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),6.432,0.005078,0.005078,Summary1.As2,KAZAKHSTAN,2014,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,67.12,1.06,Summary1.As2,KAZAKHSTAN,2014,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,683.4,,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
B.  Manure management,,27.04641,7.56839,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,20.75,,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,42.85,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
H. Urea application,0.27,,,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
A. Forest land (4),-19503.80333333335,0.4,0.022,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
B. Cropland (4),51875.59666666672,,,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
C. Grassland (4),-11768.000000000013,2.76,0.25,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
D. Wetlands (4),106.3700000000001,,,Summary1.As2,KAZAKHSTAN,2015,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,117.25,,Summary1.As2,KAZAKHSTAN,2015,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),6.455,0.004393,0.004393,Summary1.As2,KAZAKHSTAN,2015,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,66.788,1.08,Summary1.As2,KAZAKHSTAN,2015,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,712.32,,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
B.  Manure management,,27.99716,7.7738,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,19.8,,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,44.45,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
H. Urea application,0.59,,,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
A. Forest land (4),-17065.83666666668,0.02,0.001,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
B. Cropland (4),52067.58333333338,,,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
C. Grassland (4),-15974.900000000014,0.36,0.03,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
D. Wetlands (4),0.18333333333333,,,Summary1.As2,KAZAKHSTAN,2016,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,119.29,,Summary1.As2,KAZAKHSTAN,2016,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),49.5392,0.03378,0.03378,Summary1.As2,KAZAKHSTAN,2016,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,69.277,1.1,Summary1.As2,KAZAKHSTAN,2016,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,746.08,,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
B.  Manure management,,29.11787,8.12104,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,21.95,,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,46.57,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
H. Urea application,1.97,,,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
A. Forest land (4),-14361.303333333346,0.44,0.024,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
B. Cropland (4),52259.57000000005,,,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
C. Grassland (4),-13142.066666666684,8.0,0.73,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
D. Wetlands (4),14.88666666666668,,,Summary1.As2,KAZAKHSTAN,2017,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,120.35,,Summary1.As2,KAZAKHSTAN,2017,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),27.3441,0.01864,0.01864,Summary1.As2,KAZAKHSTAN,2017,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,71.54,1.13,Summary1.As2,KAZAKHSTAN,2017,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,787.3,,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
B.  Manure management,,30.65824,8.55722,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,21.31,,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,48.06,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
H. Urea application,2.54,,,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
A. Forest land (4),-11841.600000000011,0.3,0.017,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
B. Cropland (4),52451.55666666672,,,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
C. Grassland (4),-20046.00000000002,1.76,0.16,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
D. Wetlands (4),0.0,,,Summary1.As2,KAZAKHSTAN,2018,Subsector,3.  Agriculture,,,
A.  Solid waste disposal (5),,122.63,,Summary1.As2,KAZAKHSTAN,2018,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
C.  Incineration and open burning of waste (5),21.2761,0.01451,0.01451,Summary1.As2,KAZAKHSTAN,2018,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,73.063,1.22,Summary1.As2,KAZAKHSTAN,2018,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,821.82,,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
B.  Manure management,,32.00804,8.8716,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,21.84,,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,48.87,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
H. Urea application,3.22,,,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
A. Forest land (4),-14750.470000000014,2.48,0.137,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
B. Cropland (4),52643.54333333338,,,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
C. Grassland (4),-23640.76666666669,0.23,0.02,Summary1.As2,KAZAKHSTAN,2019,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),9.9907,0.00681,0.00681,Summary1.As2,KAZAKHSTAN,2019,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,76.193,1.23,Summary1.As2,KAZAKHSTAN,2019,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,874.12,,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
B.  Manure management,,33.80829,9.28238,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,21.48,,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,51.72,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
H. Urea application,5.6,,,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
A. Forest land (4),-18545.620000000017,2.0,0.111,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
B. Cropland (4),52121.30000000005,,,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
C. Grassland (4),-25587.900000000023,1.06,0.1,Summary1.As2,KAZAKHSTAN,2020,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),25.3812,0.01731,0.01731,Summary1.As2,KAZAKHSTAN,2020,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,96.2,1.28,Summary1.As2,KAZAKHSTAN,2020,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
A.  Enteric fermentation,,917.9,,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
B.  Manure management,,35.26812,9.69683,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
C.  Rice cultivation,,20.29,,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
D.  Agricultural soils,,,52.4,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
H. Urea application,4.12,,,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
A. Forest land (4),-22612.50333333336,0.71,0.039,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
B. Cropland (4),52888.440000000046,,,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
C. Grassland (4),-27671.56666666669,1.544,0.141,Summary1.As2,KAZAKHSTAN,2021,Subsector,3.  Agriculture,,,
C.  Incineration and open burning of waste (5),0.1003,7e-05,7e-05,Summary1.As2,KAZAKHSTAN,2021,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
D.  Wastewater treatment and discharge,,106.237,1.27,Summary1.As2,KAZAKHSTAN,2021,Subsector,"4.  Land use, land-use change and forestry  (4)",,,
Navigation,89.6258052,0.00846667536,0.00241905007,Summary1.As3,KAZAKHSTAN,1990,Subsector,International bunkers,,,
Navigation,56.350688,0.005323277,0.001520936,Summary1.As3,KAZAKHSTAN,1991,Subsector,International bunkers,,,
Navigation,52.74093,0.004982274,0.001423507,Summary1.As3,KAZAKHSTAN,1992,Subsector,International bunkers,,,
Navigation,45.314888,0.004280759,0.001223074,Summary1.As3,KAZAKHSTAN,1993,Subsector,International bunkers,,,
Navigation,42.542238,0.004018835,0.001148239,Summary1.As3,KAZAKHSTAN,1994,Subsector,International bunkers,,,
Navigation,40.05804,0.00378416,0.001081189,Summary1.As3,KAZAKHSTAN,1995,Subsector,International bunkers,,,
Navigation,33.0023,0.003117626,0.0008907503,Summary1.As3,KAZAKHSTAN,1996,Subsector,International bunkers,,,
Navigation,34.289846,0.003239257,0.0009255019,Summary1.As3,KAZAKHSTAN,1997,Subsector,International bunkers,,,
Navigation,26.167664,0.002471979,0.0007062797,Summary1.As3,KAZAKHSTAN,1998,Subsector,International bunkers,,,
Navigation,22.489831,0.002124545,0.000607013,Summary1.As3,KAZAKHSTAN,1999,Subsector,International bunkers,,,
Navigation,22.58193,0.002133246,0.0006094988,Summary1.As3,KAZAKHSTAN,2000,Subsector,International bunkers,,,
Navigation,3.751577,0.0003544,0.00010102571,Summary1.As3,KAZAKHSTAN,2001,Subsector,International bunkers,,,
Navigation,4.69469,0.000443493,0.0001267123,Summary1.As3,KAZAKHSTAN,2002,Subsector,International bunkers,,,
Navigation,5.327047,0.0005032298,0.0001437799,Summary1.As3,KAZAKHSTAN,2003,Subsector,International bunkers,,,
Navigation,5.014746,0.0004737277,0.0001353508,Summary1.As3,KAZAKHSTAN,2004,Subsector,International bunkers,,,
Navigation,7.381539,0.0006973114,0.0001992318,Summary1.As3,KAZAKHSTAN,2005,Subsector,International bunkers,,,
Navigation,14.419187,0.0013421385,0.0007042161,Summary1.As3,KAZAKHSTAN,2006,Subsector,International bunkers,,,
Navigation,20.311472,0.0018816326,0.0011331383,Summary1.As3,KAZAKHSTAN,2007,Subsector,International bunkers,,,
Navigation,23.380875,0.00217142,0.0012186451,Summary1.As3,KAZAKHSTAN,2008,Subsector,International bunkers,,,
Navigation,21.209326,0.0019445297,0.0015026899,Summary1.As3,KAZAKHSTAN,2009,Subsector,International bunkers,,,
Navigation,25.750212,0.0023552125,0.001913225,Summary1.As3,KAZAKHSTAN,2010,Subsector,International bunkers,,,
Navigation,21.858707,0.0019892225,0.00178254499,Summary1.As3,KAZAKHSTAN,2011,Subsector,International bunkers,,,
Navigation,20.128856,0.0018342592,0.00160272834,Summary1.As3,KAZAKHSTAN,2012,Subsector,International bunkers,,,
Navigation,19.401345,0.0017665933,0.00156639593,Summary1.As3,KAZAKHSTAN,2013,Subsector,International bunkers,,,
Navigation,17.51916111,0.001594674977,0.0014228745649,Summary1.As3,KAZAKHSTAN,2014,Subsector,International bunkers,,,
Navigation,19.6949218,0.00181937652,0.00117970265,Summary1.As3,KAZAKHSTAN,2015,Subsector,International bunkers,,,
Navigation,16.8664077,0.0015506987,0.00112662463,Summary1.As3,KAZAKHSTAN,2016,Subsector,International bunkers,,,
Navigation,15.090229,0.0013907831,0.0009545865,Summary1.As3,KAZAKHSTAN,2017,Subsector,International bunkers,,,
Navigation,10.767902,0.0009951468,0.0006382109,Summary1.As3,KAZAKHSTAN,2018,Subsector,International bunkers,,,
Navigation,7.628605,0.0007068942,0.0004226139,Summary1.As3,KAZAKHSTAN,2019,Subsector,International bunkers,,,
Navigation,10.920663,0.0010071479,0.0006659779,Summary1.As3,KAZAKHSTAN,2020,Subsector,International bunkers,,,
Navigation,5.01983,0.000467544,0.000298184,Summary1.As3,KAZAKHSTAN,2021,Subsector,International bunkers,,,
